match_id,team,total_shots,goals,shots_on_target
3825811,Rayo Vallecano,7,1,7
3825812,Málaga,13,1,12
3825812,Sporting Gijón,9,0,8
3825813,Atlético Madrid,16,3,15
3825813,RC Deportivo La Coruña,6,0,6
3825814,Celta Vigo,7,1,7
3825814,Real Sociedad,15,0,14
3825815,Levante UD,14,1,12
3825815,Valencia,6,0,5
3825816,Sevilla,14,3,11
3825816,Villarreal,13,2,12
3825817,Eibar,20,1,18
3825817,Getafe,8,1,6
3825818,Las Palmas,13,1,12
3825818,Real Sociedad,15,0,13
3825819,Celta Vigo,13,2,10
3825819,Valencia,14,0,13
3825820,Real Madrid,26,4,21
3825820,Sevilla,8,0,8
3825821,Athletic Club,13,1,13
3825821,Espanyol,17,2,15
3825822,Las Palmas,13,1,12
3825822,Valencia,8,1,7
3825823,Real Sociedad,8,1,7
3825823,Sevilla,15,1,15
3825824,Eibar,12,1,10
3825824,Villarreal,8,2,7
3825825,Levante UD,17,0,14
3825825,Sporting Gijón,11,0,9
3825826,Granada,8,0,8
3825826,Málaga,9,0,8
3825827,Levante UD,12,0,11
3825827,Real Betis,7,1,6
3825828,Atlético Madrid,14,3,12
3825828,Espanyol,10,1,8
3825829,Athletic Club,14,1,13
3825829,Rayo Vallecano,12,0,11
3825830,Getafe,17,0,16
3825830,Villarreal,13,2,12
3825831,Sevilla,7,1,6
3825831,Valencia,23,2,22
3825832,Celta Vigo,17,1,16
3825832,Sporting Gijón,11,0,11
3825833,Getafe,13,1,11
3825833,Real Madrid,22,5,21
3825834,Atlético Madrid,8,3,7
3825834,Granada,11,0,9
3825835,Athletic Club,6,1,5
3825835,Málaga,18,0,16
3825836,Rayo Vallecano,14,2,14
3825836,Villarreal,7,1,5
3825837,Las Palmas,3,0,2
3825837,Real Betis,21,1,18
3825838,Athletic Club,13,0,12
3825838,Atlético Madrid,8,1,5
3825839,Sevilla,18,1,17
3825839,Sporting Gijón,14,1,14
3825840,Eibar,9,0,9
3825840,Valencia,9,4,8
3825841,Getafe,7,2,7
3825841,Real Sociedad,15,1,12
3825842,Athletic Club,19,2,19
