match_id,team,total_passes,completed_passes,pass_accuracy
3825880,Levante UD,435,312,71.72
3825880,RC Deportivo La Coruña,494,372,75.3
3825881,Espanyol,478,351,73.43
3825881,Granada,344,237,68.9
3825882,Atlético Madrid,501,377,75.25
3825882,Celta Vigo,584,484,82.88
3825883,Las Palmas,617,525,85.09
3825883,Málaga,353,258,73.09
3825884,Real Betis,337,224,66.47
3825884,Sevilla,415,307,73.98
3825885,Getafe,363,251,69.15
3825885,Rayo Vallecano,412,286,69.42
3825886,Rayo Vallecano,387,266,68.73
3825886,Real Madrid,589,479,81.32
3825887,Granada,254,171,67.32
3825887,Rayo Vallecano,581,485,83.48
3825888,Las Palmas,630,525,83.33
3825888,Valencia,395,291,73.67
3825889,Celta Vigo,629,513,81.56
3825889,Real Betis,329,230,69.91
3825890,Atlético Madrid,432,292,67.59
3825890,Málaga,483,352,72.88
3825891,Espanyol,449,330,73.5
3825891,Las Palmas,487,364,74.74
3825892,Granada,444,306,68.92
3825892,Real Sociedad,439,300,68.34
3825893,Real Madrid,746,638,85.52
3825893,Villarreal,489,392,80.16
3825894,Getafe,397,294,74.06
3825894,RC Deportivo La Coruña,456,341,74.78
3825895,Las Palmas,401,268,66.83
3825895,Sevilla,496,358,72.18
3825896,Granada,399,299,74.94
3825896,Levante UD,421,326,77.43
3825897,Eibar,396,248,62.63
